,corr_with_target,abs_corr_with_target
mean_vp_y,-0.03218632253593813,0.03218632253593813
mean_vp_pitch_proxy,-0.03218632253593804,0.03218632253593804
mean_structure_area_ratio,0.031249249325789416,0.031249249325789416
top_structure_center_y,-0.030632705000650864,0.030632705000650864
delta_structure_bbox_w,0.029759311326892295,0.029759311326892295
mean_structure_center_y,-0.020593096228258306,0.020593096228258306
top_distortion_proxy,-0.019540987460250965,0.019540987460250965
delta_vp_spread,-0.019244797847228354,0.019244797847228354
front_vp_intersections,-0.017633985486943823,0.017633985486943823
abs_delta_vp_y,-0.016425919301013395,0.016425919301013395
abs_delta_vp_pitch_proxy,-0.016425919301013368,0.016425919301013368
front_vp_y,0.016128088329312087,0.016128088329312087
front_vp_pitch_proxy,0.016128088329311473,0.016128088329311473
front_slenderness,0.015435356634980846,0.015435356634980846
mean_std_g,0.014699510021056258,0.014699510021056258
front_structure_center_y,0.014613114794914554,0.014613114794914554
mean_saturation_std,0.01379162009708135,0.01379162009708135
front_saturation_mean,-0.012435105522661562,0.012435105522661562
mean_vp_x,0.007231549018473894,0.007231549018473894
top_centroid_dy,-0.006679821470592992,0.006679821470592992
mean_mean_r,-0.0057351625277985456,0.0057351625277985456
mean_brightness_mean,0.004118488522784237,0.004118488522784237
mean_mean_g,-0.003113376119645487,0.003113376119645487
front_checker_line_count,-0.0016821332298680187,0.0016821332298680187
mean_edge_density,-0.0015124155279049997,0.0015124155279049997
mean_std_r,-0.00034029990006472736,0.00034029990006472736
mean_mean_b,0.00010291514216146843,0.00010291514216146843
abs_delta_height,,
abs_delta_width,,
delta_height,,
delta_width,,
front_height,,
front_width,,
mean_height,,
mean_width,,
top_chessboard_found,,
top_chessboard_nx,,
top_chessboard_ny,,
top_height,,
top_width,,
